token_count,rank_host,rank_country,ASNno,sec_sen_word_cnt,avg_token_length,No_of_dots,malicious,Length_of_url,avg_path_token,IPaddress_presence,Length_of_host,safebrowsing,URL,host,avg_domain_token_length,path_token_count,path,largest_domain,domain_token_count,largest_path,largest_token
7,24099640,-1,-1,0,7.142857143,5,1,61,7.5,0,17,1,http://journeymantra.com/database/wellsfargoo/identity.php...,journeymantra.com,8,4,/database/wellsfargoo/identity.php...,13,2,11,13
8,10536495,-1,36351,0,7,4,1,69,7.6,0,15,0,http://junhofertas.com/pontofriio/vip250625/galaxy-j7prime/92ikga/...,junhofertas.com,7,5,/pontofriio/vip250625/galaxy-j7prime/92ikga/...,11,2,10,11
5,2410859,224296,34011,0,2.8,1,1,20,4,0,8,0,http://k-urz.de/1c30,k-urz.de,2,1,/1c30,3,3,4,4
11,17210193,-1,-1,0,4.454545455,7,1,64,3.875,0,15,1,http://kashtronica.com/online/kiwi.co.nz/app/kiwi/details.php...,kashtronica.com,7,8,/online/kiwi.co.nz/app/kiwi/details.php...,11,2,7,11
11,17210193,-1,-1,0,4,7,1,59,3.25,0,15,1,http://kashtronica.com/sec/kiwi.co.nz/app/kiwi/index.htm...,kashtronica.com,7,8,/sec/kiwi.co.nz/app/kiwi/index.htm...,11,2,5,11
10,-1,-1,-1,1,5.5,5,1,69,5.25,0,14,1,http://khellbazar.com/sve/Validation/login.php?cmd=login_submit&id...,khellbazar.com,6.5,4,/sve/Validation/login.php,10,2,10,12
5,-1,-1,20013,0,5,2,1,31,2.5,0,17,1,http://kiranscuisine.com/tp.htm,kiranscuisine.com,8,2,/tp.htm,13,2,3,13
15,-1,-1,-1,0,3.266666667,6,1,68,2.8,0,12,1,http://kloshpro.com/js/db/a/db/d/2/dropbx.z/document.html?ssl=yes...,kloshpro.com,5.5,10,/js/db/a/db/d/2/dropbx.z/document.html,8,2,8,8
9,16605621,-1,-1,0,5.222222222,5,1,61,8,0,16,1,http://kluxdance.com.br/facebook/?gfid=xyuqgt&refid=512662...,kluxdance.com.br,4.666666667,1,/facebook/,9,3,8,9
12,8719642,-1,9318,0,4.75,5,1,73,5.625,0,10,0,http://kons.or.kr/Portal-Mobile/Atendimento-van-gogh-select/pessoa-fis...,kons.or.kr,2.666666667,8,/Portal-Mobile/Atendimento-van-gogh-select/pessoa-fis...,4,3,11,11
9,-1,-1,42366,0,4.666666667,5,1,55,4.333333333,0,13,0,http://korkeaoja.org/wp-admin/Yomzee/home/index.html...,korkeaoja.org,6,6,/wp-admin/Yomzee/home/index.html...,9,2,6,9
9,-1,-1,21740,0,4.666666667,5,1,55,4.333333333,0,13,0,http://kuwaitdoc.com/wp-includes/css/wp-activate.php...,kuwaitdoc.com,6,6,/wp-includes/css/wp-activate.php...,9,2,8,9
5,-1,-1,6428,0,7.6,1,1,45,10,0,15,1,http://labichelabs.com/boxfile/profiledriver/,labichelabs.com,7,2,/boxfile/profiledriver/,11,2,13,13
4,-1,-1,-1,0,7,1,0,34,12,0,13,1,http://lajhajjar.com/eimprovement/,lajhajjar.com,6,1,/eimprovement/,9,2,12,12
5,-1,-1,-1,0,7.6,2,1,44,4,0,27,0,http://lanuevaeradeldesarrollo.com/ik9ok.y97,lanuevaeradeldesarrollo.com,13,2,/ik9ok.y97,23,2,5,23
4,-1,-1,-1,0,6.75,1,1,33,12,0,12,1,http://lasmihelm.id/eimprovement/,lasmihelm.id,5.5,1,/eimprovement/,9,2,12,12
5,-1,-1,47583,0,10.6,5,1,63,26,0,25,1,http://lbcizonassegurasnet.pe.hu/SincroPersona793x75Peru098/...,lbcizonassegurasnet.pe.hu,7.666666667,1,/SincroPersona793x75Peru098/...,19,3,26,26
6,-1,-1,18915,0,5,2,1,38,3.5,0,21,1,http://lengendondbeat.com.ng/ok/telia/,lengendondbeat.com.ng,6.333333333,2,/ok/telia/,14,3,5,14
7,3132405,173159,15395,0,8.857142857,6,1,73,15,0,31,0,http://library.businessexpertise.co.uk/Email/e3dinwmtxfbzk7jtkbedqwbup...,library.businessexpertise.co.uk,7,2,/Email/e3dinwmtxfbzk7jtkbedqwbup...,17,4,25,25
8,-1,-1,-1,0,5.625,6,1,57,4,0,16,1,http://lightingquote.tk/index.php?userid=mr.jungwoojin...,lightingquote.tk,7.5,2,/index.php,13,2,5,13
9,8830046,-1,32392,0,5.444444444,5,0,62,5.333333333,0,14,1,http://lihuamodel.com/modules/lefteditorial/wr/cd/index.php...,lihuamodel.com,6.5,6,/modules/lefteditorial/wr/cd/index.php...,10,2,13,13
